neighborhood,current_price,baseline_cagr,recovery_cagr,peak_price_2022,distance_from_peak,median_nightly_rate,median_monthly_str_income,median_bedrooms,occupancy_rate,listing_count,monthly_mortgage,monthly_property_tax,monthly_insurance,monthly_maintenance,monthly_base_costs,str_utilities,str_cleaning,str_supplies,str_platform_fees,str_additional_costs,str_total_costs,str_monthly_cash_flow,str_annual_cash_flow,str_cash_on_cash_return,estimated_ltr_rent,ltr_effective_rent,ltr_monthly_cash_flow,ltr_annual_cash_flow,ltr_cash_on_cash_return,str_total_invested,str_cumulative_cash_flow,str_appreciation_gain,str_principal_paydown,str_total_return,str_roi_pct,str_annualized_roi,ltr_total_invested,ltr_cumulative_cash_flow,ltr_appreciation_gain,ltr_principal_paydown,ltr_total_return,ltr_roi_pct,ltr_annualized_roi,metro,metro_display,state,has_str_data
Wells Branch,386379.5724106428,4.6050370554753695,-5.1100141610117,490199.5722660844,-21.179129017902774,0.0,0.0,0.0,0.0,0,2056.47434888853,708.3625494195118,160.9914885044345,321.982977008869,3247.8113638213454,200,300,75,0.0,575.0,3822.8113638213454,-3822.8113638213454,-45873.736365856144,-59.36356324384264,2511.467220669178,2310.549843015644,-937.2615208057014,-11247.138249668416,-14.554519768600757,(88867.30165444785+0j),(-229368.68182928071+0j),(72518.15452317259+0j),(18139.47041181312+0j),(-138711.056894295+0j),(-156.0878459364727+0j),(-27.933837468912603+52.35913190898146j),88867.30165444785,-60918.12863711796,72518.15452317259,18139.47041181312,29739.49629786775,33.465060538809865,5.94330512839345,austin,"Austin, TX",TX,True
Garrison Park,402959.6426964081,5.39800932873582,-5.895207661517765,532837.116707865,-24.374704752909317,0.0,0.0,0.0,0.0,0,2144.720445939457,738.7593449434148,167.89985112350337,335.79970224700673,3387.179344253382,200,300,75,0.0,575.0,3962.179344253382,-3962.179344253382,-47546.15213104059,-58.99617119581142,2619.2376775266525,2409.6986633245206,-977.4806809288616,-11729.76817114634,-14.554519768600757,(92680.71782017387+0j),(-237730.76065520293+0j),(75630.00666247337+0j),(18917.859632801206+0j),(-143182.89435992835+0j),(-154.49048920590215+0j),(-28.349077549938784+52.057442330783545j),92680.71782017387,-63532.207968949864,75630.00666247337,18917.859632801206,31015.658326324716,33.46506053880985,5.94330512839345,austin,"Austin, TX",TX,True
Allandale,771824.8377094726,5.247860987144737,-4.601587048515454,975924.1487350152,-20.913439972778047,179.0,2421.270588235294,2.0,43.76899696048632,25,4107.975922955037,1415.0122024673665,321.59368237894694,643.1873647578939,6487.769172559245,200,300,75,72.63811764705882,647.6381176470588,7135.4072902063035,-4714.13670197101,-56569.64042365212,-36.646683068358215,5016.861445111572,4615.512529502646,-1872.2566430565985,-22467.07971667918,-14.554519768600757,(177519.7126731787+0j),(-282848.2021182606+0j),(144860.95239618933+0j),(36235.077644979116+0j),(-101752.17207709217+0j),(-57.318801695236075+0j),(-15.657334731340544+0j),177519.7126731787,-121688.95072676787,144860.95239618933,36235.077644979116,59407.07931440057,33.46506053880986,5.94330512839345,austin,"Austin, TX",TX,True
Montopolis,320834.897100307,4.38006860044069,-9.430861246380884,456076.3471571705,-29.653247948475027,120.0,1024.5925925925926,2.0,30.708661417322837,135,1707.6180606511239,588.1973113505628,133.6812071251279,267.3624142502558,2696.8589933770704,200,300,75,30.737777777777776,605.7377777777778,3302.5967711548483,-2278.0041785622557,-27336.050142747066,-42.601428943374295,2085.4268311519954,1918.5926846598359,-778.2663087172346,-9339.195704606815,-14.554519768600754,(73792.02633307061+0j),(-136680.25071373532+0j),(60216.31655935175+0j),(15062.326112941839+0j),(-61401.60804144174+0j),(-83.20900115182772+0j),(-30.01333381831538+0j),73792.02633307061,-50584.09638711699,60216.31655935175,15062.326112941839,24694.5462851766,33.46506053880987,5.94330512839345,austin,"Austin, TX",TX,True
North Burnet,215948.1447979912,9.139751063653566,-12.004997366747672,332222.28252370557,-34.998897979522994,117.0,1368.0,1.0,30.16759776536313,87,1149.3667165073516,395.9049321296505,89.97839366582967,179.95678733165934,1815.206829634491,200,300,75,41.04,616.04,2431.246829634491,-1063.246829634491,-12758.961955613891,-29.541726249950578,1727.5851583839296,1589.3783457132154,-225.82848392127562,-2709.9418070553074,-6.2745197686007534,(49668.07330353798+0j),(-63794.80977806946+0j),(40530.50950843128+0j),(10138.178264988412+0j),(-13126.12200464977+0j),(-26.427685093463776+0j),(-5.953446605510115+0j),49668.07330353798,-14677.91894584083,40530.50950843128,10138.178264988412,35990.76882757886,72.46258297080985,11.516460668310181,austin,"Austin, TX",TX,True
Brentwood,605796.0540722477,4.941848687698291,-5.784745366120536,794848.9108772655,-23.784753834079275,96.0,1086.6382978723404,1.0,37.5,93,3224.3010107517543,1110.626099132454,252.41502253010322,504.83004506020643,5092.172177474517,200,300,75,32.59914893617021,607.5991489361702,5699.771326410688,-4613.133028538347,-55357.596342460165,-45.689961143142554,3634.7763244334865,3343.994218478808,-1748.1779589957096,-20978.135507948515,-17.314519768600743,(139333.09243661698+0j),(-276787.9817123008+0j),(113699.62336427439+0j),(28440.477662617748+0j),(-134647.88068540866+0j),(-96.63740202038534+0j),(-49.26180776784106+0j),139333.09243661698,-113624.34861843861,113699.62336427439,28440.477662617748,28515.752408453525,20.46588639480992,3.7941355214250905,austin,"Austin, TX",TX,True
St. Johns,327510.62456819654,5.960308462855446,-9.362793837780625,468984.54288418306,-30.166008765650055,76.5,414.6357155399473,1.0,17.526652452025587,86,1743.1490857833087,600.4361450416936,136.46276023674855,272.9255204734971,2752.9735115352482,200,300,75,12.439071466198419,587.4390714661985,3340.412583001447,-2925.7768674614995,-35109.32240953799,-53.600280076146475,2128.8190596932773,1958.5135349178152,-794.4599766174331,-9533.519719409196,-14.554519768600759,(75327.4436506852+0j),(-175546.61204768997+0j),(61469.25918530527+0j),(15375.7333671753+0j),(-98701.6194952094+0j),(-131.03009303344595+0j),(-35.98020780377734+46.51310166462149j),75327.4436506852,-51636.6179324409,61469.25918530527,15375.7333671753,25208.37462003967,33.46506053880984,5.94330512839345,austin,"Austin, TX",TX,True
Zilker,876781.8246193258,5.678599839776921,-7.715732919730122,1216107.3580586787,-27.90259685469151,135.0,1365.8285714285712,2.0,36.734693877551024,277,4666.60108517595,1607.4333451354305,365.3257602580524,730.6515205161048,7370.011711085538,200,300,75,40.97485714285713,615.9748571428571,7985.986568228395,-6620.157996799824,-79441.89596159788,-45.303115171262434,5699.081860025617,5243.155311223568,-2126.85639986197,-25522.276798343642,-14.554519768600757,(201659.81966244496+0j),(-397209.47980798944+0j),(164559.94152112713+0j),(41162.522816798184+0j),(-191487.01547006413+0j),(-94.9554630122109+0j),(-44.9744664746888+0j),201659.81966244496,-138236.88360543325,164559.94152112713,41162.522816798184,67485.58073249206,33.465060538809894,5.94330512839345,austin,"Austin, TX",TX,True
Barton Hills,873646.2646270619,5.602080992631575,-6.810826101658208,1176045.9065712646,-25.71325151973379,156.5,1334.848559314701,2.0,27.512810405991328,150,4649.912318082853,1601.6848184829469,364.0192769279424,728.0385538558849,7343.654967349627,200,300,75,40.04545677944103,615.045456779441,7958.700424129069,-6623.851864814367,-79486.22237777241,-45.4910789389703,5678.700720075902,5224.404662469829,-2119.250304879798,-25431.003658557576,-14.554519768600766,(200938.64086422423+0j),(-397431.1118888621+0j),(163971.4398500449+0j),(41015.31680031726+0j),(-192444.35523849993+0j),(-95.77269678485386+0j),(-46.88555106795901+0j),200938.64086422423,-137742.51883928795,163971.4398500449,41015.31680031726,67244.23781107421,33.46506053880978,5.94330512839345,austin,"Austin, TX",TX,True
Parker Lane,342836.1268809456,5.919405799260669,-9.171525443325358,490118.9613214554,-30.050425725910877,126.0,1832.4444444444443,2.0,38.82352941176471,35,1824.717845211679,628.5328992817335,142.848386200394,285.696772400788,2881.795903094595,200,300,75,54.97333333333333,629.9733333333334,3511.7692364279283,-1679.324791983484,-20151.897503801807,-29.389985365806886,2228.434824726146,2050.1600387480544,-831.6358643465405,-9979.630372158486,-14.554519768600766,(78852.3091826175+0j),(-100759.48751900904+0j),(64345.6460965678+0j),(16095.224032827857+0j),(-20318.617389613384+0j),(-25.76794211892592+0j),(-5.785380159343623+0j),78852.3091826175,-54052.89712518321,64345.6460965678,16095.224032827857,26387.973004212443,33.46506053880983,5.94330512839345,austin,"Austin, TX",TX,True
Georgian Acres,296755.3228113262,5.581823705067657,-8.773880825025005,419935.7886636467,-29.333166921618,94.0,1675.5348837209299,1.0,64.4776119402985,17,1579.4564537926324,544.051425154098,123.64805117138592,247.29610234277183,2494.452032460888,200,300,75,50.26604651162789,625.2660465116279,3119.7180789725157,-1444.1831952515859,-17330.19834301903,-29.19947345651721,2374.0425824906097,2184.119175891361,-310.33285656952694,-3723.9942788343233,-6.274519768600745,(68253.72424660502+0j),(-86650.99171509515+0j),(55696.91021950345+0j),(13931.855569121777+0j),(-17022.225926469924+0j),(-24.939629469840423+0j),(-5.576055078141784+0j),68253.72424660502,-20170.35422576128,55696.91021950345,13931.855569121777,49458.41156286395,72.46258297080989,11.516460668310181,austin,"Austin, TX",TX,True
Windsor Hills,345316.95073942543,5.273147256896871,-7.744185719863528,473966.3219344684,-27.143146093158556,77.0,340.5813291007059,1.0,13.987617518917679,18,1837.9218316368526,633.0810763556133,143.88206280809393,287.76412561618787,2902.649096416748,200,300,75,10.217439873021176,585.2174398730211,3487.866536289769,-3147.2852071890634,-37767.42248626876,-54.685155775581784,2244.5601798062653,2064.9953654217643,-837.6537309949836,-10051.844771939803,-14.554519768600757,(79422.89867006785+0j),(-188837.11243134382+0j),(64811.26276152651+0j),(16211.691967964929+0j),(-107814.15770185238+0j),(-135.74694390055592+0j),(-34.142471522725536+47.84829522806403j),79422.89867006785,-54444.03360787561,64811.26276152651,16211.691967964929,26578.92112161583,33.46506053880988,5.94330512839345,austin,"Austin, TX",TX,True
South Lamar,547681.7132522175,5.352318984868609,-6.636724173935726,732424.1836949578,-25.223425790058617,105.0,976.9608242594543,2.0,31.922676016298688,194,2914.992083125678,1004.0831409623987,228.20071385509064,456.4014277101813,4603.677365653349,200,300,75,29.308824727783627,604.3088247277836,5207.9861903811325,-4231.025366121678,-50772.304393460145,-46.352017207189974,3286.090279513305,3023.203057152241,-1580.4743085011078,-18965.691702013293,-17.314519768600746,(125966.79404801002+0j),(-253861.52196730074+0j),(102792.35743065958+0j),(25712.16736600973+0j),(-125356.99717063142+0j),(-99.5159066466785+0j),(-65.56613091726699+0j),125966.79404801002,-102724.3038316194,102792.35743065958,25712.16736600973,25780.220965049914,20.465886394809917,3.7941355214250905,austin,"Austin, TX",TX,True
MLK 183,384981.4532158198,6.272577072196861,-8.631240677125628,538479.0530563084,-28.50576990307504,0.0,0.0,0.0,0.0,0,2049.0329713775404,705.7993308956696,160.4089388399249,320.8178776798498,3236.059118792985,200,300,75,0.0,575.0,3811.059118792985,-3811.059118792985,-45732.709425515815,-59.39599043473681,2502.3794459028286,2302.1890902306022,-933.8700285623827,-11206.440342748592,-14.554519768600757,(88545.73423963855+0j),(-228663.54712757908+0j),(72255.74669664225+0j),(18073.83251690981+0j),(-138333.96791402702+0j),(-156.22883372296909+0j),(-27.897643360057334+52.38542846832806j),88545.73423963855,-60697.69564572335,72255.74669664225,18073.83251690981,29631.883567828714,33.465060538809844,5.94330512839345,austin,"Austin, TX",TX,True
Wooten,416216.84773581225,5.1441416514377725,-9.83705993642685,625165.7715102698,-33.4229628838573,122.0,1216.0,2.0,46.55172413793103,49,2215.2808586739975,763.0642208489891,173.42368655658845,346.8473731131769,3498.6161391927517,200,300,75,36.48,611.48,4110.096139192752,-2894.096139192752,-34729.153670313026,-41.72002390008593,2705.4095102827796,2488.9767494601574,-1009.6393897325943,-12115.672676791131,-14.554519768600747,(95729.87497923682+0j),(-173645.76835156512+0j),(78118.2024995223+0j),(19540.249364885793+0j),(-75987.31648715702+0j),(-79.37680531144345+0j),(-27.075881463630314+0j),95729.87497923682,-65622.3912488794,78118.2024995223,19540.249364885793,32036.060615528695,33.465060538809965,5.943305128393472,austin,"Austin, TX",TX,True
Heritage Hills,407496.38647688256,5.232559692721805,-7.199486304453407,548550.7829868429,-25.714008781816577,0.0,0.0,0.0,0.0,0,2168.8669015965634,747.0767085409512,169.7901610320344,339.5803220640688,3425.3140932336178,200,300,75,0.0,575.0,4000.3140932336178,-4000.3140932336178,-48003.769118803415,-58.90085251286846,2648.7265120997367,2436.828391131758,-988.4857021018597,-11861.828425222317,-14.554519768600747,(93724.168889683+0j),(-240018.84559401707+0j),(76481.49134229706+0j),(19130.847418512683+0j),(-144406.50683320733+0j),(-154.07606014962846+0j),(-28.458399287263912+51.97801543938141j),93724.168889683,-64247.488902380916,76481.49134229706,19130.847418512683,31364.849858428825,33.46506053880987,5.94330512839345,austin,"Austin, TX",TX,True
North Lamar,294117.46398040775,5.77349685646158,-7.605042511649329,401773.4191517038,-26.79519103045659,89.5,1656.7999999999997,1.0,87.69662921348313,8,1565.416661295509,539.2153506307475,122.54894332516989,245.09788665033977,2472.278841901766,200,300,75,49.70399999999999,624.704,3096.982841901766,-1440.182841901766,-17282.194102821195,-29.37974826270844,2352.939711843262,2164.7045348958013,-307.5743070059648,-3690.8916840715774,-6.2745197686007534,(67647.01671549378+0j),(-86410.97051410598+0j),(55201.820240710396+0j),(13808.015268985182+0j),(-17401.135004410404+0j),(-25.723432975019684+0j),(-5.774084751901231+0j),67647.01671549378,-19991.05989495328,55201.820240710396,13808.015268985182,49018.7756147423,72.46258297080986,11.516460668310181,austin,"Austin, TX",TX,True
South Manchaca,458829.9369496855,5.458036994028137,-6.4783404424314845,618798.7630828917,-25.851510325623817,130.0,1611.1999999999998,2.0,60.63829787234043,17,2442.0856153242617,841.1882177410899,191.17914039570232,382.35828079140464,3856.811254252458,200,300,75,48.33599999999999,623.336,4480.147254252458,-2868.947254252458,-34427.3670510295,-37.516478632479405,2982.3945901729558,2743.8030229591195,-1113.0082312933387,-13356.098775520064,-14.554519768600747,(105530.88549842767+0j),(-172136.83525514748+0j),(86116.09578627482+0j),(21540.81804435386+0j),(-64479.921424518805+0j),(-61.100521539241235+0j),(-17.207927217867024+0j),105530.88549842767,-72340.9391114377,86116.09578627482,21540.81804435386,35315.97471919097,33.465060538809894,5.94330512839345,austin,"Austin, TX",TX,True
Crestview,587802.3811893207,5.691585232383201,-6.386546368437163,798012.2634350859,-26.341685695518724,138.5,1082.3254332552692,2.0,38.50621186502977,36,3128.5311270201596,1077.637698847088,244.91765882888365,489.8353176577673,4940.921802353899,200,300,75,32.46976299765807,607.4697629976581,5548.391565351557,-4466.066132096288,-53592.79358515546,-45.58742470277112,3526.814287135924,3244.6691441650505,-1696.2526581888483,-20355.031898266177,-17.314519768600753,(135194.54767354377+0j),(-267963.9679257773+0j),(110322.45737585949+0j),(27595.723643083824+0j),(-130045.786906834+0j),(-96.19159141007478+0j),(-47.982592062914364+0j),135194.54767354377,-110249.41848009874,110322.45737585949,27595.723643083824,27668.762538844574,20.465886394809896,3.7941355214250905,austin,"Austin, TX",TX,True
Sweetbriar,344593.11019792134,5.004669818599394,-7.053258342944879,468064.0062262738,-26.379062347439618,0.0,0.0,0.0,0.0,0,1834.0692482898562,631.7540353628557,143.58046258246722,287.16092516493444,2896.564671400113,200,300,75,0.0,575.0,3471.564671400113,-3471.564671400113,-41658.77605680136,-60.44632760195658,2239.8552162864885,2060.6667989835696,-835.8978724165436,-10030.774468998523,-14.554519768600747,(79256.4153455219+0j),(-208293.88028400682+0j),(64675.407804414164+0j),(16177.709622564085+0j),(-127440.76285702857+0j),(-160.7955170587073+0j),(-26.762762251844684+53.2099678576744j),79256.4153455219,-54329.91005070873,64675.407804414164,16177.709622564085,26523.20737626952,33.465060538809894,5.94330512839345,austin,"Austin, TX",TX,True
Pecan Springs-Springdale,427772.5417020635,6.133954104744133,-7.0342840827087745,577986.4951348263,-25.98918049075222,0.0,0.0,0.0,0.0,0,2276.78511490819,784.2496597871163,178.23855904252648,356.47711808505295,3595.7504518228857,200,300,75,0.0,575.0,4170.750451822885,-4170.750451822885,-50049.00542187462,-58.49955355097678,2780.521521063413,2558.07979937834,-1037.6706524445458,-12452.04782933455,-14.554519768600754,(98387.68459147461+0j),(-250245.02710937313+0j),(80287.04800923384+0j),(20082.75777826016+0j),(-149875.22132187913+0j),(-152.33128205444726+0j),(-28.926137215557944+51.63818394251467j),98387.68459147461,-67444.30757622376,80287.04800923384,20082.75777826016,32925.49821127024,33.46506053880982,5.94330512839345,austin,"Austin, TX",TX,True
Mueller,711799.9412026423,7.677106462158578,-2.360872490047694,843676.70527414,-15.631196552789294,150.0,817.7258426966291,2.0,30.612244897959183,59,3788.4982156041065,1304.9665588715109,296.58330883443426,593.1666176688685,5983.2147009789205,200,300,75,24.531775280898874,599.5317752808988,6582.746476259819,-5765.02063356319,-69180.24760275829,-48.595288927583205,4626.699617817175,4256.563648391801,-1726.65105258712,-20719.81263104544,-14.554519768600763,(163713.98647660774+0j),(-345901.23801379144+0j),(133595.10132398643+0j),(33417.07195341366+0j),(-178889.06473639136+0j),(-109.26926195273603+0j),(-49.7233102508126+36.52815327011582j),163713.98647660774,-112225.18859250438,133595.10132398643,33417.07195341366,54786.98468489571,33.46506053880983,5.94330512839345,austin,"Austin, TX",TX,True
Shady Hollow,671393.7893049297,4.613737605509005,-3.1091023263400186,820741.1883260949,-18.196649704611488,108.5,706.5038596491228,2.0,21.79037336932074,8,3573.4397061790078,1230.8886137257043,279.7474122103874,559.4948244207748,5643.570556535874,200,300,75,21.195115789473682,596.1951157894737,6239.765672325348,-5533.2618126762245,-66399.1417521147,-49.448730990537896,4028.362735829578,3706.093716963212,-1937.476839572662,-23249.72207487194,-17.314519768600746,(154420.57154013382+0j),(-331995.70876057347+0j),(126011.41994889826+0j),(31520.112980580598+0j),(-174464.17583109462+0j),(-112.97987961775642+0j),(-46.22111700933574+39.07264560134172j),154420.57154013382,-125927.99418785892,126011.41994889826,31520.112980580598,31603.538741619937,20.4658863948099,3.7941355214250905,austin,"Austin, TX",TX,True
South River City,814640.2365961311,5.958734529107956,-6.981117858134301,1103143.5689786754,-26.152836357433486,0.0,0.0,0.0,0.0,0,4335.857456646125,1493.5071004262402,339.43343191505465,678.8668638301093,6847.664852817529,200,300,75,0.0,575.0,7422.664852817529,-7422.664852817529,-89071.97823381035,-54.66951804761455,5295.161537874852,4871.5486148448645,-1976.1162379726647,-23713.394855671977,-14.554519768600757,(187367.25441711018+0j),(-445359.89116905176+0j),(152896.81643802358+0j),(38245.14421353233+0j),(-254217.93051749584+0j),(-135.67895377895923+0j),(-34.16754259929564+47.83008002471298j),187367.25441711018,-128439.39553096409,152896.81643802358,38245.14421353233,62702.565120591826,33.465060538809865,5.94330512839345,austin,"Austin, TX",TX,True
Bouldin Creek,825903.3394544292,5.905089546854092,-8.181902003584863,1160439.4661934394,-28.828399626598422,140.0,1707.7894736842106,2.0,31.25,173,4395.8044201268085,1514.15612233312,344.1263914393455,688.252782878691,6942.339716777966,200,300,75,51.23368421052632,626.2336842105263,7568.573400988492,-5860.783927304281,-70329.40712765137,-42.57726283932281,5368.37170645379,4938.901969937487,-2003.4377468404791,-24041.25296208575,-14.554519768600759,(189957.7680745187+0j),(-351647.0356382569+0j),(155010.74660361838+0j),(38773.91626990319+0j),(-157862.3727647353+0j),(-83.10393113421259+0j),(-29.925963635664854+0j),189957.7680745187,-130215.18078921188,155010.74660361838,38773.91626990319,63569.48208430968,33.465060538809844,5.94330512839345,austin,"Austin, TX",TX,True
